con,joint,peak,sub,value
dg,ank,rom,11,37.120910840876
dg,ank,rom,12,38.868761918124
dg,ank,rom,13,31.6188599432216
dg,ank,rom,14,34.2209700836855
dg,kne,rom,1,21.3239201343421
dg,kne,rom,2,22.4659529153038
dg,kne,rom,3,21.8819383924658
dg,kne,rom,4,29.3102985585437
dg,kne,rom,5,16.513035325443
dg,kne,rom,6,24.4169701267691
dg,kne,rom,7,28.1192779137808
dg,kne,rom,8,26.6490585989154
dg,kne,rom,9,22.7285079745685
dg,kne,rom,10,29.3023502020275
dg,kne,rom,11,26.1117789631381
dg,kne,rom,12,32.432721860652
dg,kne,rom,13,23.3511888560127
dg,kne,rom,14,24.2154471584979
dg,hip,rom,1,7.00714534701723
dg,hip,rom,2,9.02599461182185
dg,hip,rom,3,11.5342909928524
dg,hip,rom,4,14.4836016542771
dg,hip,rom,5,5.06264183100532
dg,hip,rom,6,11.8552581001731
dg,hip,rom,7,19.0785648612415
dg,hip,rom,8,15.3909716038581
dg,hip,rom,9,12.3784384376862
dg,hip,rom,10,13.0231355446226
dg,hip,rom,11,16.2972408883712
dg,hip,rom,12,13.5291212481611
dg,hip,rom,13,11.0160408370635
dg,hip,rom,14,9.73299724915448
ln,ank,max,1,98.1517680982675
ln,ank,max,2,106.564603439219
ln,ank,max,3,100.55546788398
ln,ank,max,4,110.363622267667
ln,ank,max,5,104.840930726949
ln,ank,max,6,108.086115914794
ln,ank,max,7,110.425574555678
ln,ank,max,8,113.431530698327
ln,ank,max,9,110.237150597853
ln,ank,max,10,114.278467430227
ln,ank,max,11,113.921509067872
ln,ank,max,12,116.211641906289
ln,ank,max,13,99.793312932323
ln,ank,max,14,107.799137719659
ln,ank,min,1,63.0195638247097
ln,ank,min,2,69.2272797881856
ln,ank,min,3,68.6492107410992
ln,ank,min,4,67.105658957257
ln,ank,min,5,73.4856915479548
ln,ank,min,6,68.9079671021069
ln,ank,min,7,78.7243616188274
ln,ank,min,8,73.6545570776042
ln,ank,min,9,78.3562428372748
ln,ank,min,10,72.4254909529405
ln,ank,min,11,73.208616484053
ln,ank,min,12,78.2778537250968
ln,ank,min,13,65.7850493501214
ln,ank,min,14,74.3762176126592
ln,kne,max,1,160.318171908855
ln,kne,max,2,166.124381338007
ln,kne,max,3,163.602188913822
ln,kne,max,4,172.826336388798
ln,kne,max,5,165.592435041175
ln,kne,max,6,170.642231526445
ln,kne,max,7,169.830930053066
ln,kne,max,8,178.618836122581
ln,kne,max,9,165.119237866682
ln,kne,max,10,173.412221043881
ln,kne,max,11,177.986597633439
ln,kne,max,12,175.873913478404
ln,kne,max,13,164.195387842795
ln,kne,max,14,177.563423661791
ln,kne,min,1,137.096007678088
ln,kne,min,2,135.592000042411
ln,kne,min,3,137.033634742288
ln,kne,min,4,141.712645759583
ln,kne,min,5,146.392454976475
ln,kne,min,6,142.649390944313
ln,kne,min,7,144.068946818744
ln,kne,min,8,148.195875041625
ln,kne,min,9,143.342368106281
ln,kne,min,10,141.298250341415
ln,kne,min,11,145.801477811477
ln,kne,min,12,147.179858061286
ln,kne,min,13,146.231972010556
ln,kne,min,14,153.586823891191
ln,hip,max,1,161.130800721225
ln,hip,max,2,180.315946892893
ln,hip,max,3,160.368543378185
ln,hip,max,4,166.033268553509
ln,hip,max,5,158.80491832649
ln,hip,max,6,165.037337206672
ln,hip,max,7,165.983456378123
ln,hip,max,8,179.935581296354
ln,hip,max,9,171.018897513782
ln,hip,max,10,167.305225841158
ln,hip,max,11,172.652290770236
ln,hip,max,12,174.355407734513
ln,hip,max,13,160.457561570196
ln,hip,max,14,162.487359929365
ln,hip,min,1,158.132213482576
ln,hip,min,2,170.443493955836
ln,hip,min,3,149.256388419656
ln,hip,min,4,153.680777286081
ln,hip,min,5,152.954859333038
ln,hip,min,6,156.245906425364
ln,hip,min,7,151.948705314468
ln,hip,min,8,165.790797159111
ln,hip,min,9,161.154148749183
ln,hip,min,10,153.652800699683
ln,hip,min,11,157.629801935308
ln,hip,min,12,164.276600581758
ln,hip,min,13,153.785529923439
ln,hip,min,14,156.149126176273
ln,ank,rom,1,35.6251430125797
ln,ank,rom,2,37.5298322369071
ln,ank,rom,3,32.5676292251138
ln,ank,rom,4,43.6728007512934
ln,ank,rom,5,32.2228067692588
ln,ank,rom,6,39.6328079840716
ln,ank,rom,7,32.3276044831556
ln,ank,rom,8,40.1547267577227
ln,ank,rom,9,32.2680635873009
ln,ank,rom,10,42.550237529418
ln,ank,rom,11,41.159465116613
ln,ank,rom,12,38.4588368640227
ln,ank,rom,13,34.4582835295621
ln,ank,rom,14,33.7286060697892
ln,kne,rom,1,23.5808481048135
ln,kne,rom,2,30.6851780134089
ln,kne,rom,3,27.1342549604528
ln,kne,rom,4,31.8554423030685
ln,kne,rom,5,19.9599678516388
ln,kne,rom,6,28.4153474569321
ln,kne,rom,7,26.3985178751104
ln,kne,rom,8,31.1890984256478
ln,kne,rom,9,22.0769912355086
ln,kne,rom,10,32.7018246920232
ln,kne,rom,11,32.4167433663867
ln,kne,rom,12,29.2075080328128
ln,kne,rom,13,18.4689355036792
ln,kne,rom,14,24.291828975958
ln,hip,rom,1,4.08790856249192
ln,hip,rom,2,9.98699121123782
ln,hip,rom,3,11.9141056537628
ln,hip,rom,4,12.6170786829556
ln,hip,rom,5,6.2829403035781
ln,hip,rom,6,9.08925631467034
ln,hip,rom,7,14.413442513522
ln,hip,rom,8,15.1180410756017
ln,hip,rom,9,10.0420181190266
ln,hip,rom,10,14.3203758632436
ln,hip,rom,11,15.3378690726617
ln,hip,rom,12,10.5181029894773
ln,hip,rom,13,7.48351934376885
ln,hip,rom,14,7.49981934884015
pg,ank,max,1,102.274259383538
pg,ank,max,2,103.148663700328
pg,ank,max,3,101.492254702484
pg,ank,max,4,106.184423742575
pg,ank,max,5,103.296286490805
pg,ank,max,6,102.793822512381
pg,ank,max,7,111.377471588079
pg,ank,max,8,113.001350472955
pg,ank,max,9,108.746334978973
pg,ank,max,10,118.610841456021
pg,ank,max,11,104.632615662743
pg,ank,max,12,115.982484925214
pg,ank,max,13,102.005129856222
pg,ank,max,14,109.274953420723
pg,ank,min,1,66.5674870426514
pg,ank,min,2,68.0281397959765
pg,ank,min,3,69.8812540303959
pg,ank,min,4,64.6806055018481
pg,ank,min,5,72.4044635862463
pg,ank,min,6,65.435631720038
pg,ank,min,7,75.3189850894142
pg,ank,min,8,73.3947446241098
pg,ank,min,9,73.2282111762551
pg,ank,min,10,76.0696930458966
pg,ank,min,11,70.1756183287677
pg,ank,min,12,76.2388925311145
pg,ank,min,13,66.7642165167191
pg,ank,min,14,73.6482786857381
pg,kne,max,1,159.681830083342
pg,kne,max,2,162.612169790268
pg,kne,max,3,164.522834955945
pg,kne,max,4,172.264906134711
pg,kne,max,5,165.547751075801
pg,kne,max,6,170.449461883306
pg,kne,max,7,174.143643850018
pg,kne,max,8,179.23968759473
pg,kne,max,9,167.096305830338
pg,kne,max,10,177.277352686829
pg,kne,max,11,172.142078701713
pg,kne,max,12,177.696300848234
pg,kne,max,13,170.909839865741
pg,kne,max,14,179.101110534026
pg,kne,min,1,133.292861409468
pg,kne,min,2,132.761209252301
pg,kne,min,3,138.567318301481
pg,kne,min,4,141.316685636184
pg,kne,min,5,144.412168512344
pg,kne,min,6,139.673728062686
pg,kne,min,7,146.737422798662
pg,kne,min,8,148.278585486132
pg,kne,min,9,142.700996320388
pg,kne,min,10,143.288851937126
pg,kne,min,11,142.393772938672
pg,kne,min,12,149.096881898431
pg,kne,min,13,147.087220795575
pg,kne,min,14,155.628097337835
pg,hip,max,1,162.575275738099
pg,hip,max,2,178.482763496699
pg,hip,max,3,156.442791973563
pg,hip,max,4,165.9709882049
pg,hip,max,5,164.056880836066
pg,hip,max,6,168.699015376989
pg,hip,max,7,169.817787226439
pg,hip,max,8,181.356379726466
pg,hip,max,9,175.982537467655
pg,hip,max,10,172.838449502473
pg,hip,max,11,171.694127166972
pg,hip,max,12,176.230157651726
pg,hip,max,13,168.587201354293
pg,hip,max,14,170.489646268031
pg,hip,min,1,159.833671718485
